official_id,subject_id,consent,attention_check,catch_trial,trial_name,samples_requested,strategy,feedback
P1,00fd6cfv1p,Agree,72White,correct,70_30,20,Identify the balls with fewer counts and add more counts.,NA
P1,00fd6cfv1p,Agree,72White,correct,65_35,10,,
P1,00fd6cfv1p,Agree,72White,correct,95_5,10,,
P1,00fd6cfv1p,Agree,72White,correct,90_10,15,,
P1,00fd6cfv1p,Agree,72White,correct,55_45,50,,
P1,00fd6cfv1p,Agree,72White,correct,80_20,30,,
P1,00fd6cfv1p,Agree,72White,correct,51_49,55,,
P1,00fd6cfv1p,Agree,72White,correct,75_25,30,,
P1,00fd6cfv1p,Agree,72White,correct,85_15,30,,
P1,00fd6cfv1p,Agree,72White,correct,60_40,50,,
P2,4hjbcmlv49,Agree,72Black,correct,65_35,25,Least in each,Please send the answers
P2,4hjbcmlv49,Agree,72Black,correct,90_10,10,,
P2,4hjbcmlv49,Agree,72Black,correct,51_49,50,,
P2,4hjbcmlv49,Agree,72Black,correct,60_40,40,,
P2,4hjbcmlv49,Agree,72Black,correct,80_20,17,,
P2,4hjbcmlv49,Agree,72Black,correct,55_45,45,,
P2,4hjbcmlv49,Agree,72Black,correct,95_5,5,,
P2,4hjbcmlv49,Agree,72Black,correct,70_30,60,,
P2,4hjbcmlv49,Agree,72Black,correct,85_15,15,,
P2,4hjbcmlv49,Agree,72Black,correct,75_25,32,,
P4,5qqtv6amzt,Agree,72White,correct,95_5,5,"I would sometimes count the number of balls that are in the minority and try to find sort of like a rough percentage. Other times, it would be more of what I would need to see for me to make an estimate.","The white background almost feels like it makes it hard to see the white balls for the lower cube. Though that could just be me, XD. I didn't see any real issues."
P4,5qqtv6amzt,Agree,72White,correct,51_49,15,,
P4,5qqtv6amzt,Agree,72White,correct,80_20,8,,
P4,5qqtv6amzt,Agree,72White,correct,55_45,12,,
P4,5qqtv6amzt,Agree,72White,correct,70_30,10,,
P4,5qqtv6amzt,Agree,72White,correct,65_35,10,,
P4,5qqtv6amzt,Agree,72White,correct,90_10,5,,
P4,5qqtv6amzt,Agree,72White,correct,75_25,8,,
P4,5qqtv6amzt,Agree,72White,correct,60_40,10,,
P4,5qqtv6amzt,Agree,72White,correct,85_15,6,,
